metric,team,metric_group,direction,values,slope,pct_change,trend,r_squared,months_data
Dispositioned PDR Bugs - Resolved,Onboarding,Quality,higher_better,"[13.0, 7.0, 9.0, 10.0, 6.0, 7.0, 10.0, 6.0, nan]",-0.5238095238095238,-53.84615384615385,Declining,0.2743764172335601,8
Commitment %,Onboarding,Delivery & Commitments ,higher_better,"[0.0, 16.7, 85.7, 40.0, 60.0, 100.0, 0.0, 50.0, 100.0]",6.4750000000000005,0.0,Improving,0.19991969157751016,9
Investment Allocations - R,Onboarding,Delivery & Commitments ,higher_better,"[85.0, 76.0, 88.0, 67.0, 63.0, 56.0, 71.0, 78.0, 67.0]",-1.85,-21.176470588235293,Declining,0.23767361111111107,9
Investment Allocations - T,Onboarding,Delivery & Commitments ,higher_better,"[9.0, 9.0, 10.0, 22.0, 17.0, 19.0, 14.0, 4.0, 18.0]",0.43333333333333335,100.0,Improving,0.04049520766773164,9
Investment Allocations - M,Onboarding,Delivery & Commitments ,higher_better,"[6.0, 15.0, 2.0, 11.0, 20.0, 25.0, 15.0, 18.0, 15.0]",1.4166666666666667,150.0,Improving,0.3064903846153847,9
Investment Allocations - 0,Onboarding,Delivery & Commitments ,higher_better,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,Stable,,9
Regrettable Attrition,Onboarding,Sentiment & Team Health,lower_better,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,Stable,,9
PR Review Velocity - X / Wk ,Onboarding,Quality ,context_dependent,"[35.0, 23.0, 34.0, 33.0, 22.0, 26.0, 29.0, 43.0, 51.0]",1.7833333333333332,45.714285714285715,Declining,0.26691793596518487,9
PR Review Velocity - X / FTE Wk,Onboarding,Quality ,context_dependent,"[3.73, 2.96, 3.64, 3.85, 2.69, 2.8, 2.73, 4.47, 5.26]",0.12966666666666662,41.018766756032164,Declining,0.16218756698821,9
PRS Merged - X/Wk,Onboarding,Quality ,higher_better,"[49.0, 24.0, 37.5, 35.0, 31.0, 26.0, 32.0, 43.0, 50.0]",0.6833333333333333,2.0408163265306123,Improving,0.03997305009511731,9
PRS Merged -  X/FTE Wk,Onboarding,Quality ,higher_better,"[4.72, 2.76, 3.67, 3.99, 2.64, 2.97, 2.93, 4.1, 5.06]",0.04799999999999999,7.203389830508472,Stable,0.02213792072654287,9
PR Comments - X/Wk,Onboarding,Quality ,context_dependent,"[2.0, 1.0, 5.0, 5.0, 6.0, 10.0, 4.0, 12.0, 9.0]",1.0666666666666667,350.0,Declining,0.6320987654320985,9
PR Comments - X/FTE Wk,Onboarding,Quality ,context_dependent,"[0.15, 0.07, 0.48, 0.41, 0.42, 0.98, 0.5, 0.9, 0.82]",0.09633333333333333,446.6666666666667,Stable,0.6880763421666893,9
Sprint Predictability ,Recruiting Modernization,Productivity and Capacity,higher_better,"[nan, 44.6, 34.7, 15.5, 52.7, 96.3, 78.9, 100.0, nan]",11.978571428571428,124.2152466367713,Improving,0.6496105333620987,7
Cycle Time (Days) ,Recruiting Modernization,Productivity and Capacity,lower_better,"[nan, 3.08, 26.31, 4.0, 6.74, 4.45, 4.37, 2.31, nan]",-1.6335714285714285,-25.0,Improving,0.17296356222393094,7
Unplanned work %,Recruiting Modernization,Productivity and Capacity,lower_better,"[nan, 54.0, 25.0, 13.0, 2.0, 9.0, 38.0, 36.0, nan]",-1.1428571428571421,-33.33333333333333,Improving,0.017758046614872337,7
Wasted Effort %,Recruiting Modernization,Productivity and Capacity,lower_better,"[nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]",0.0,0.0,Stable,,7
Severity 1 Incidents,Recruiting Modernization,Reliability ,lower_better,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]",0.0,0.0,Stable,,8
Severity 2 Incidents,Recruiting Modernization,Reliability ,lower_better,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]",0.0,0.0,Stable,,8
Severity 3 Incidents,Recruiting Modernization,Reliability ,lower_better,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, nan]",0.023809523809523808,0.0,Stable,0.01587301587301587,8
Dispositioned PDR Bugs - Created,Recruiting Modernization,Quality,lower_better,"[18.0, 3.0, 10.0, 3.0, 3.0, 10.0, 4.0, 12.0, nan]",-0.44047619047619047,-33.33333333333333,Improving,0.03792348818526828,8
Dispositioned PDR Bugs - Resolved,Recruiting Modernization,Quality,higher_better,"[14.0, 4.0, 4.0, 5.0, 3.0, 6.0, 9.0, 7.0, nan]",-0.23809523809523808,-50.0,Declining,0.026455026455026454,8
Commitment %,Recruiting Modernization,Delivery & Commitments ,higher_better,"[0.0, 16.7, 66.7, 0.0, 0.0, 0.0, 0.0, 33.0, nan]",-0.6261904761904763,0.0,Declining,0.003994220336782838,8
Investment Allocations - R,Recruiting Modernization,Delivery & Commitments ,higher_better,"[37.0, 44.0, 56.0, 86.0, 96.0, 35.0, 0.0, 2.0, nan]",-6.166666666666667,-94.5945945945946,Declining,0.18923775671406004,8
Investment Allocations - T,Recruiting Modernization,Delivery & Commitments ,higher_better,"[7.0, 2.0, 24.0, 14.0, 0.0, 40.0, 50.0, 58.0, nan]",7.511904761904762,728.5714285714286,Improving,0.6702742467934959,8
Investment Allocations - M,Recruiting Modernization,Delivery & Commitments ,higher_better,"[56.0, 48.0, 20.0, 0.0, 4.0, 25.0, 50.0, 40.0, nan]",-0.9880952380952381,-28.57142857142857,Declining,0.012814860699543696,8
Investment Allocations - 0,Recruiting Modernization,Delivery & Commitments ,higher_better,"[0.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]",-0.35714285714285715,0.0,Declining,0.17006802721088432,8
Deployment Frequency,Recruiting Modernization,Delivery & Commitments ,context_dependent,"[nan, nan, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, nan]",0.0,0.0,Stable,,6
Regrettable Attrition,Recruiting Modernization,Sentiment & Team Health,lower_better,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]",0.0,0.0,Stable,,8
PR Review Velocity - X / Wk ,Recruiting Modernization,Quality ,context_dependent,"[nan, 15.0, 12.5, 7.0, 6.0, 11.0, 6.0, 8.0, nan]",-1.0714285714285714,-46.666666666666664,Improving,0.43227665706051877,7
PR Review Velocity - X / FTE Wk,Recruiting Modernization,Quality ,context_dependent,"[nan, 2.33, 1.98, 1.6, 1.27, 1.73, 0.98, 3.19, nan]",0.025357142857142845,36.909871244635184,Stable,0.00560739138946731,7
PRS Merged - X/Wk,Recruiting Modernization,Quality ,higher_better,"[nan, 14.0, 13.0, 6.0, 6.0, 12.5, 12.0, 11.0, nan]",-0.1607142857142857,-21.428571428571427,Declining,0.0110655737704918,7
PRS Merged -  X/FTE Wk,Recruiting Modernization,Quality ,higher_better,"[nan, 2.24, 2.0, 1.49, 1.39, 2.18, 1.14, 3.67, nan]",0.11642857142857138,63.8392857142857,Improving,0.08932918218863044,7
PR Comments - X/Wk,Recruiting Modernization,Quality ,context_dependent,"[nan, 14.0, 13.0, 22.0, 12.0, 8.5, 5.0, 5.0, nan]",-2.017857142857143,-64.28571428571429,Improving,0.5368735284224687,7
PR Comments - X/FTE Wk,Recruiting Modernization,Quality ,context_dependent,"[nan, 1.95, 2.3, 5.48, 1.97, 1.62, 1.12, 1.42, nan]",-0.2789285714285714,-27.179487179487182,Improving,0.1680270381054594,7
Sprint Predictability ,Recruiting Innovation,Productivity and Capacity,higher_better,"[nan, 93.2, 48.5, 53.0, 80.0, 70.6, 86.0, 83.8, nan]",2.299999999999999,-10.08583690987125,Improving,0.08481988740201658,7
Cycle Time (Days) ,Recruiting Innovation,Productivity and Capacity,lower_better,"[0.04, 10.98, 6.99, 3.91, 4.03, 6.72, 4.29, 3.95, nan]",-0.08059523809523816,9775.0,Stable,0.003847199637897595,8
Unplanned work %,Recruiting Innovation,Productivity and Capacity,lower_better,"[69.0, 60.0, 57.0, 23.0, 46.0, 4.0, 1.0, 0.8, nan]",-10.814285714285713,-98.84057971014492,Improving,0.8511909713144948,8
Wasted Effort %,Recruiting Innovation,Productivity and Capacity,lower_better,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]",0.0,0.0,Stable,,8
Severity 1 Incidents,Recruiting Innovation,Reliability ,lower_better,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]",0.0,0.0,Stable,,8
Severity 2 Incidents,Recruiting Innovation,Reliability ,lower_better,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]",0.0,0.0,Stable,,8
Severity 3 Incidents,Recruiting Innovation,Reliability ,lower_better,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, nan]",0.023809523809523808,0.0,Stable,0.01587301587301587,8
Dispositioned PDR Bugs - Created,Recruiting Innovation,Quality,lower_better,"[18.0, 3.0, 10.0, 2.0, 2.0, 0.0, 0.0, 0.0, nan]",-2.0357142857142856,-100.0,Improving,0.6046150983189629,8
Dispositioned PDR Bugs - Resolved,Recruiting Innovation,Quality,higher_better,"[14.0, 4.0, 4.0, 4.0, 2.0, 0.0, 0.0, 0.0, nan]",-1.5714285714285714,-100.0,Declining,0.6914285714285714,8
Commitment %,Recruiting Innovation,Delivery & Commitments ,higher_better,"[0.0, 16.7, 66.7, 0.0, 66.7, 80.0, 0.0, 33.0, nan]",3.0249999999999995,0.0,Improving,0.04796302868396932,8
Investment Allocations - R,Recruiting Innovation,Delivery & Commitments ,higher_better,"[49.0, 56.0, 40.0, 75.0, 63.0, 90.0, 100.0, 95.0, nan]",8.095238095238095,93.87755102040816,Improving,0.7801533311737393,8
Investment Allocations - T,Recruiting Innovation,Delivery & Commitments ,higher_better,"[0.0, 2.0, 6.0, 6.0, 5.0, 4.0, 0.0, 0.0, nan]",-0.20238095238095238,0.0,Declining,0.03381303381303381,8
Investment Allocations - M,Recruiting Innovation,Delivery & Commitments ,higher_better,"[51.0, 42.0, 53.0, 19.0, 32.0, 6.0, 0.0, 5.0, nan]",-7.857142857142857,-90.19607843137256,Declining,0.8072407045009785,8
Investment Allocations - 0,Recruiting Innovation,Delivery & Commitments ,higher_better,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]",-0.03571428571428571,0.0,Stable,0.061224489795918366,8
Deployment Frequency,Recruiting Innovation,Delivery & Commitments ,context_dependent,"[nan, nan, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, nan]",0.0,0.0,Stable,,6
Regrettable Attrition,Recruiting Innovation,Sentiment & Team Health,lower_better,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]",0.0,0.0,Stable,,8
PR Review Velocity - X / Wk ,Recruiting Innovation,Quality ,context_dependent,"[0.0, 4.0, 7.5, 14.0, 6.0, 9.5, 20.0, 24.0, nan]",2.9285714285714284,0.0,Declining,0.7707179154090095,8
PR Review Velocity - X / FTE Wk,Recruiting Innovation,Quality ,context_dependent,"[0.0, 0.85, 1.09, 2.59, 0.85, 1.78, 3.19, 4.77, nan]",0.5407142857142857,0.0,Declining,0.7282509238972965,8
PRS Merged - X/Wk,Recruiting Innovation,Quality ,higher_better,"[1.0, 7.0, 10.0, 19.0, 12.0, 9.5, 19.0, 23.0, nan]",2.4464285714285716,2200.0,Improving,0.6744241756399046,8
PRS Merged -  X/FTE Wk,Recruiting Innovation,Quality ,higher_better,"[0.3, 1.89, 1.58, 3.63, 1.2, 1.8, 3.34, 4.64, nan]",0.4269047619047618,1446.6666666666667,Improving,0.5288910648747026,8
PR Comments - X/Wk,Recruiting Innovation,Quality ,context_dependent,"[0.0, 0.0, 5.0, 5.0, 4.0, 16.5, 19.0, 27.0, nan]",3.7797619047619047,0.0,Declining,0.8612330332446952,8
PR Comments - X/FTE Wk,Recruiting Innovation,Quality ,context_dependent,"[0.0, 0.0, 0.98, 1.09, 0.44, 4.14, 2.99, 3.44, nan]",0.5697619047619048,0.0,Declining,0.7225591629368074,8
Sprint Predictability ,Learning Management,Productivity and Capacity,higher_better,"[0.618, 0.56, 0.638, 0.807, 0.687, 0.674, 0.72, 0.653, 0.712]",0.01143333333333333,15.210355987055014,Stable,0.19964533591270842,9
Cycle Time (Days) ,Learning Management,Productivity and Capacity,lower_better,"[5.14, 5.71, 5.98, 5.12, 5.31, 4.51, 6.96, 4.215, 4.56]",-0.0909166666666667,-11.284046692607005,Stable,0.08567265225978457,9
Unplanned work %,Learning Management,Productivity and Capacity,lower_better,"[0.24, 0.22, 0.34, 0.64, 0.43, 0.3, 0.03, 0.015, 0.0]",-0.04225,-100.0,Stable,0.2957940806431815,9
Wasted Effort %,Learning Management,Productivity and Capacity,lower_better,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,Stable,,9
Severity 1 Incidents,Learning Management,Reliability ,lower_better,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,Stable,,9
Severity 2 Incidents,Learning Management,Reliability ,lower_better,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,Stable,,9
Severity 3 Incidents,Learning Management,Reliability ,lower_better,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,Stable,,9
Dispositioned PDR Bugs - Created,Learning Management,Quality,lower_better,"[2.0, 4.0, 3.0, 1.0, 2.0, 3.0, 3.0, 3.0, 5.0]",0.18333333333333332,150.0,Declining,0.18520408163265303,9
Dispositioned PDR Bugs - Resolved,Learning Management,Quality,higher_better,"[1.0, 4.0, 3.0, 0.0, 3.0, 3.0, 3.0, 2.0, 2.0]",0.016666666666666666,100.0,Stable,0.001388888888888889,9
Commitment %,Learning Management,Delivery & Commitments ,higher_better,"[100.0, 100.0, 100.0, 100.0, 50.0, 100.0, 0.0, 0.0, 1.0]",-14.933333333333334,-99.0,Declining,0.7129466928742273,9
Investment Allocations - R,Learning Management,Delivery & Commitments ,higher_better,"[75.0, 79.0, 77.0, 80.0, 76.0, 62.0, 46.0, 61.0, 56.0]",-3.5,-25.333333333333336,Declining,0.6271331058020478,9
Investment Allocations - T,Learning Management,Delivery & Commitments ,higher_better,"[23.0, 17.0, 21.0, 18.0, 17.0, 38.0, 50.0, 39.0, 44.0]",3.8000000000000003,91.30434782608695,Improving,0.6408284023668639,9
Investment Allocations - M,Learning Management,Delivery & Commitments ,higher_better,"[2.0, 4.0, 2.0, 2.0, 7.0, 0.0, 4.0, 0.0, 0.0]",-0.30000000000000004,-100.0,Declining,0.12272727272727277,9
