type,metric,team,month,value,mean,severity,confidence,prev_value,severity_score
Sudden Change,Investment Allocations - T,Recognition & Rewards,November → December,4.0,,0.75,Medium,16.0,2.4499999999999997
Sudden Change,Investment Allocations - M,Recognition & Rewards,July → August,34.0,,1.8333333333333333,High,12.0,5.666666666666666
Sudden Change,Investment Allocations - M,Recognition & Rewards,December → January,68.0,,1.125,High,32.0,4.25
Sudden Change,PR Review Velocity - X / Wk ,Recognition & Rewards,December → January,7.0,,0.5625,Medium,16.0,2.1875
Sudden Change,PR Review Velocity - X / Wk ,Recognition & Rewards,February → March,13.0,,1.1666666666666667,High,6.0,4.333333333333334
Sudden Change,PR Review Velocity - X / FTE Wk,Recognition & Rewards,February → March,2.19,,0.7109374999999999,Medium,1.28,2.3953124999999997
Sudden Change,PRS Merged - X/Wk,Recognition & Rewards,December → January,6.0,,0.625,Medium,16.0,2.275
Sudden Change,PRS Merged - X/Wk,Recognition & Rewards,February → March,12.0,,1.0,Medium,6.0,2.8
Sudden Change,PRS Merged -  X/FTE Wk,Recognition & Rewards,December → January,1.06,,0.5069767441860464,Medium,2.15,2.109767441860465
Sudden Change,PR Comments - X/Wk,Recognition & Rewards,July → August,55.0,,0.7741935483870968,Medium,31.0,2.4838709677419355
Sudden Change,PR Comments - X/Wk,Recognition & Rewards,September → October,71.5,,0.5212765957446809,Medium,47.0,2.129787234042553
Sudden Change,PR Comments - X/Wk,Recognition & Rewards,December → January,23.0,,0.5700934579439252,Medium,53.5,2.198130841121495
Sudden Change,PR Comments - X/Wk,Recognition & Rewards,January → February,40.0,,0.7391304347826086,Medium,23.0,2.434782608695652
Sudden Change,PR Comments - X/Wk,Recognition & Rewards,February → March,77.0,,0.925,Medium,40.0,2.695
Sudden Change,PR Comments - X/FTE Wk,Recognition & Rewards,July → August,11.97,,0.630790190735695,Medium,7.34,2.283106267029973
Sudden Change,PR Comments - X/FTE Wk,Recognition & Rewards,September → October,15.71,,1.191073919107392,High,7.17,4.3821478382147845
Sudden Change,PR Comments - X/FTE Wk,Recognition & Rewards,December → January,2.89,,0.6639534883720929,Medium,8.6,2.3295348837209295
Sudden Change,PR Comments - X/FTE Wk,Recognition & Rewards,January → February,6.77,,1.3425605536332177,High,2.89,4.685121107266435
Sudden Change,PR Comments - X/FTE Wk,Recognition & Rewards,February → March,13.15,,0.9423929098966028,Medium,6.77,2.7193500738552436
Sudden Change,Cycle Time (Days) ,Onboarding,July → August,6.48,,0.6615384615384616,Medium,3.9,2.3261538461538462
Sudden Change,Cycle Time (Days) ,Onboarding,October → November,8.0,,0.5209125475285171,Medium,5.26,2.129277566539924
Sudden Change,Unplanned work %,Onboarding,October → November,20.0,,1.2222222222222223,High,9.0,4.444444444444445
Sudden Change,Unplanned work %,Onboarding,November → December,9.0,,0.55,Medium,20.0,2.17
Sudden Change,Unplanned work %,Onboarding,January → February,3.0,,0.5714285714285714,Medium,7.0,2.1999999999999997
Sudden Change,Unplanned work %,Onboarding,February → March,22.0,,6.333333333333333,High,3.0,14.666666666666666
Sudden Change,Severity 1 Incidents,Onboarding,November → December,0.0,,1.0,Medium,1.0,2.8
Sudden Change,Severity 3 Incidents,Onboarding,August → September,0.0,,1.0,Medium,1.0,2.8
Sudden Change,Dispositioned PDR Bugs - Created,Onboarding,October → November,4.0,,0.5555555555555556,Medium,9.0,2.1777777777777776
Sudden Change,Dispositioned PDR Bugs - Created,Onboarding,January → February,9.0,,1.25,High,4.0,4.5
Sudden Change,Dispositioned PDR Bugs - Created,Onboarding,February → March,1.0,,0.8888888888888888,Medium,9.0,2.6444444444444444
Sudden Change,Commitment %,Onboarding,August → September,85.7,,4.131736526946108,High,16.7,10.263473053892216
Sudden Change,Commitment %,Onboarding,September → October,40.0,,0.5332555425904317,Medium,85.7,2.1465577596266043
Sudden Change,Commitment %,Onboarding,November → December,100.0,,0.6666666666666666,Medium,60.0,2.333333333333333
Sudden Change,Commitment %,Onboarding,December → January,0.0,,1.0,Medium,100.0,2.8
Sudden Change,Commitment %,Onboarding,February → March,100.0,,1.0,Medium,50.0,2.8
Sudden Change,Investment Allocations - T,Onboarding,September → October,22.0,,1.2,High,10.0,4.4
